ward,population
E05012635,1367
E05012636,2474
E05012637,2829
E05012638,1400
E05012639,1341
E05012640,3174
E05012641,3265
E05012642,3085
E05012643,4220
E05012644,2936
E05012645,4724
E05012646,1244
E05012270,18795
E05012271,16369
E05012272,17911
E05012273,17065
E05012274,16919
E05012275,16217
E05012276,13997
E05012277,10867
E05012278,17043
E05012279,10742
E05012280,16892
E05012281,23338
E05012282,9912
E05012283,21829
E05012284,16399
E05012285,11016
E05012286,16650
E05012287,20685
E05012288,15822
E05012289,15167
E05013213,13898
E05013214,13246
E05013215,12722
E05013216,14800
E05013217,13245
E05013218,14476
E05013219,14168
E05013220,13593
E05013221,15749
E05013222,14191
E05013223,12783
E05013224,11194
E05013225,13379
E05013226,11509
E05013227,16185
E05013228,15505
E05013229,15233
E05013230,15835
E05013231,13555
E05013232,12331
E05013233,12756
E05013234,12369
E05013235,15981
E05013236,14630
E05013237,13712
E05013238,12479
E05013239,13598
E05013240,16376
E05013241,11315
E05013242,16188
E05013243,14561
E05013244,12298
E05013245,12832
E05013246,17872
E05013247,14130
E05013248,11617
E05013249,12850
E05013250,12811
E05013251,14786
E05013252,11733
E05013253,11215
E05013254,12572
E05013255,14323
E05013256,14805
E05013257,12938
E05013258,14357
E05013259,11671
E05013260,12004
E05013261,14759
E05013262,12267
E05013263,13739
E05013264,13486
E05013265,12974
E05013266,17699
E05013267,15768
E05013268,16155
E05013269,12025
E05003280,8797
E05003281,2581
E05003282,5350
E05003283,5904
E05003284,4632
E05003286,4941
E05003287,2653
E05003289,4815
E05003290,5135
E05003292,6369
E05003293,6151
E05003295,5805
E05003296,9189
E05003297,5535
E05003299,6205
E05003300,4053
E05003301,5077
E05003302,2314
E05008520,5646
E05008521,5066
E05008522,5844
E05008523,7566
E05008524,6579
E05011983,6299
E05011984,4117
E05011985,4271
E05011986,4297
E05011987,3440
E05011988,4442
E05011989,5515
E05011990,2786
E05011991,6615
E05011992,4788
E05011993,4244
E05011994,4897
E05011995,4737
E05011996,4875
E05011997,6673
E05011998,4349
E05011999,3922
E05003323,5543
E05003324,4256
E05003325,6008
E05003326,6595
E05003327,6494
E05003328,6296
E05003329,7655
E05003330,4273
E05003331,3845
E05003332,3739
E05003333,4785
E05003334,5009
E05003335,4290
E05003336,4187
